,summary,config,name
32,"{'_val loss': 1.07, '_timestamp': 1684218538.5570383, 'acc': 0.09876543209876544, '_step': 14, '_wandb': {'runtime': 6}, '_runtime': 8.169035196304321, 'tst loss': 1.1271, '_trn loss': 1.095}","{'D_h1': 256, 'D_h2': 64, 'modal': 'v', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F6001
33,"{'_wandb': {'runtime': 57}, '_runtime': 59.21042037010193, 'tst loss': 0.9544, '_trn loss': 0.9183, '_val loss': 0.9846, '_timestamp': 1684218530.1612313, 'acc': 0.7636363636363637, '_step': 116}","{'D_h1': 256, 'D_h2': 64, 'modal': 'a', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F5001
34,"{'_val loss': 1.0744, '_timestamp': 1684218525.6196716, 'acc': 0.2831858407079646, '_step': 124, '_wandb': {'runtime': 57}, '_runtime': 59.470643520355225, 'tst loss': 1.1531, '_trn loss': 1.0211}","{'D_h1': 256, 'D_h2': 64, 'modal': 'v', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F5002
35,"{'_wandb': {'runtime': 32}, '_runtime': 34.47650098800659, 'tst loss': 1.0137, '_trn loss': 0.9805, '_val loss': 0.9465, '_timestamp': 1684218466.636626, 'acc': 0.45555555555555555, '_step': 76}","{'D_h1': 256, 'D_h2': 64, 'modal': 'a', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F4003
36,"{'_timestamp': 1684218450.9543076, 'acc': 0.4545454545454546, '_step': 52, '_wandb': {'runtime': 23}, '_runtime': 25.115606546401978, 'tst loss': 1.0863, '_trn loss': 1.0845, '_val loss': 1.0909}","{'D_h1': 256, 'D_h2': 64, 'modal': 'v', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F5001
37,"{'_runtime': 19.94236731529236, 'tst loss': 1.0771, '_trn loss': 1.0764, '_val loss': 1.0808, '_timestamp': 1684218421.1352513, 'acc': 0.5222222222222223, '_step': 36, '_wandb': {'runtime': 18}}","{'D_h1': 256, 'D_h2': 64, 'modal': 'v', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F4003
38,"{'_timestamp': 1684218428.1491823, 'acc': 0.11818181818181818, '_step': 56, '_wandb': {'runtime': 26}, '_runtime': 27.78846025466919, 'tst loss': 1.1568, '_trn loss': 1, '_val loss': 1.1193}","{'D_h1': 256, 'D_h2': 64, 'modal': 'a', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F4002
39,"{'_step': 35, '_wandb': {'runtime': 22}, '_runtime': 24.03237009048462, 'tst loss': 1.0979, '_trn loss': 1.0913, '_val loss': 1.1146, '_timestamp': 1684218396.142487, 'acc': 0.23636363636363636}","{'D_h1': 256, 'D_h2': 64, 'modal': 'v', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F4002
40,"{'_val loss': 1.0705, '_timestamp': 1684218366.6714966, 'acc': 0.08247422680412371, '_step': 24, '_wandb': {'runtime': 13}, '_runtime': 15.861916542053224, 'tst loss': 1.1554, '_trn loss': 1.0839}","{'D_h1': 256, 'D_h2': 64, 'modal': 'v', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F4001
41,"{'_runtime': 11.41830849647522, 'tst loss': 1.1428, '_trn loss': 1.0769, '_val loss': 1.0915, '_timestamp': 1684218346.5604303, 'acc': 0.21428571428571427, '_step': 16, '_wandb': {'runtime': 9}}","{'D_h1': 256, 'D_h2': 64, 'modal': 'v', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F3003
42,"{'_wandb': {'runtime': 67}, '_runtime': 68.82260298728943, 'tst loss': 1.2514, '_trn loss': 0.8776, '_val loss': 0.9442, '_timestamp': 1684218396.254075, 'acc': 0.15463917525773196, '_step': 149}","{'D_h1': 256, 'D_h2': 64, 'modal': 'a', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F4001
43,"{'_trn loss': 1.0696, '_val loss': 1.1022, '_timestamp': 1684218323.3104568, 'acc': 0.3979591836734694, '_step': 18, '_wandb': {'runtime': 9}, '_runtime': 11.502132654190063, 'tst loss': 1.0947}","{'D_h1': 256, 'D_h2': 64, 'modal': 'a', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F3003
44,"{'_timestamp': 1684218331.1791785, 'acc': 0.2987012987012987, '_step': 43, '_wandb': {'runtime': 18}, '_runtime': 19.77310156822205, 'tst loss': 1.1009, '_trn loss': 1.0973, '_val loss': 1.1013}","{'D_h1': 256, 'D_h2': 64, 'modal': 'v', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F3002
45,"{'_runtime': 20.62050223350525, 'tst loss': 1.1001, '_trn loss': 1.0981, '_val loss': 1.1221, '_timestamp': 1684218305.3702953, 'acc': 0.3108108108108108, '_step': 36, '_wandb': {'runtime': 19}}","{'D_h1': 256, 'D_h2': 64, 'modal': 'v', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F3001
46,"{'_runtime': 45.71263527870178, 'tst loss': 1.1472, '_trn loss': 0.9241, '_val loss': 1.0512, '_timestamp': 1684218307.647993, 'acc': 0.3246753246753247, '_step': 91, '_wandb': {'runtime': 44}}","{'D_h1': 256, 'D_h2': 64, 'modal': 'a', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F3002
47,"{'tst loss': 1.0999, '_trn loss': 1.0418, '_val loss': 1.0429, '_timestamp': 1684218258.0725667, 'acc': 0.35135135135135137, '_step': 36, '_wandb': {'runtime': 20}, '_runtime': 21.858003854751587}","{'D_h1': 256, 'D_h2': 64, 'modal': 'a', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F3001
48,"{'_wandb': {'runtime': 82}, '_runtime': 83.61199378967285, 'tst loss': 0.9064, '_trn loss': 0.9389, '_val loss': 0.9877, '_timestamp': 1684218280.2722387, 'acc': 0.5309734513274337, '_step': 190}","{'D_h1': 256, 'D_h2': 64, 'modal': 'v', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F2002
49,"{'_runtime': 35.32584071159363, 'tst loss': 1.1282, '_trn loss': 0.9884, '_val loss': 0.9827, '_timestamp': 1684218231.8441737, 'acc': 0.24778761061946905, '_step': 68, '_wandb': {'runtime': 33}}","{'D_h1': 256, 'D_h2': 64, 'modal': 'a', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F2002
50,"{'_step': 67, '_wandb': {'runtime': 31}, '_runtime': 32.14189958572388, 'tst loss': 1.1099, '_trn loss': 1.0926, '_val loss': 1.1057, '_timestamp': 1684218191.9520986, 'acc': 0.2535211267605634}","{'D_h1': 256, 'D_h2': 64, 'modal': 'v', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F2001
51,"{'_val loss': 1.0021, '_timestamp': 1684218192.2182188, 'acc': 0.4647887323943662, '_step': 110, '_wandb': {'runtime': 47}, '_runtime': 47.56175684928894, 'tst loss': 1.1729, '_trn loss': 0.9169}","{'D_h1': 256, 'D_h2': 64, 'modal': 'a', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911F2001
52,"{'_wandb': {'runtime': 21}, '_runtime': 22.84432339668274, 'tst loss': 0.9801, '_trn loss': 1.0606, '_val loss': 1.0044, '_timestamp': 1684218107.9441333, 'acc': 0.6761904761904762, '_step': 57}","{'D_h1': 256, 'D_h2': 64, 'modal': 't', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M7002
53,"{'_trn loss': 1.0299, '_val loss': 1.1538, '_timestamp': 1684218080.4098418, 'acc': 0.1919191919191919, '_step': 29, '_wandb': {'runtime': 11}, '_runtime': 13.232593774795532, 'tst loss': 1.1527}","{'D_h1': 256, 'D_h2': 64, 'modal': 't', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M7001
54,"{'acc': 0.4090909090909091, '_step': 62, '_wandb': {'runtime': 23}, '_runtime': 24.964985132217407, 'tst loss': 1.1593, '_trn loss': 1.0145, '_val loss': 1.1547, '_timestamp': 1684218061.2339892}","{'D_h1': 256, 'D_h2': 64, 'modal': 't', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M6003
55,"{'acc': 0.8333333333333334, '_step': 70, '_wandb': {'runtime': 25}, '_runtime': 27.62727689743042, 'tst loss': 0.8011, '_trn loss': 1.0332, '_val loss': 1.048, '_timestamp': 1684218031.663867}","{'D_h1': 256, 'D_h2': 64, 'modal': 't', 'epochs': 500, 'adam_lr': 1e-05, 'dropout': 0.6, 'version': '1911', 'batch_size': 2, 'weight_decay': 1e-05, 'early_stop_num': 10}",1911M6002
